"node_id","node_name","playbook_name","action_id","action_name","current_sprk_executortype","current_advisory_executoractiontype","suggested_executortype","suggested_executortype_label","confidence","suggestion_source","owner_decision_executortype","owner_notes"
"2d2fdd9e-5f2d-f111-88b5-7c1e520aa4df","Query New Events","New Events on Matters/Projects","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"2e2fdd9e-5f2d-f111-88b5-7c1e520aa4df","Has New Events?","New Events on Matters/Projects","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Has New Events? -> Condition (question-mark node name = branch)."
"c5a64493-572f-f111-88b5-7c1e520aa4df","Document Analysis","U.S. Patent Office Action Review","41c9ecf2-cb10-f111-8342-7ced8d1dc988","General Legal Document Review","","","","","NONE","","0","AUTO-GUESS (NONE-row): Document Analysis with action ""General Legal Document Review"" -> AiAnalysis (Review = LLM prompt)."
"a1ea4d99-572f-f111-88b5-7c1e520aa4df","Extract Key Info","U.S. Patent Office Action Review","10d09452-70d9-f011-8406-7c1e525abd8b","Extract Data","","","","","NONE","","0","AUTO-GUESS (NONE-row): Extract Key Info with action ""Extract Data"" -> AiAnalysis (extraction = LLM prompt)."
"a2ea4d99-572f-f111-88b5-7c1e520aa4df","Generate Output","U.S. Patent Office Action Review","0b03b351-70d9-f011-8406-7c1e520aa4df","Prepare Response","","","","","NONE","","0","AUTO-GUESS (NONE-row): Generate Output with action ""Prepare Response"" -> AiAnalysis (prompt-driven response generation; VERIFY - could also be 40 DeliverOutput if pure delivery)."
"4cabdf0a-4f60-f111-ab0b-7c1e521b425f","Start","New Playbook","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"66b90f98-1b61-f111-ab0b-7c1e521b425f","summarize","summarize-document-for-chat@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"fe584739-965e-f111-ab0c-7c1e521b425f","retrieveCohortObservations","predict-matter-cost@v1","23939266-825e-f111-a825-6045bdebafa9","Insights — Index Retrieve","","","90","IndexRetrieve","HIGH","action-name","90","AUTO-COPY (confidence=HIGH): script suggested IndexRetrieve (90)."
"10594739-965e-f111-ab0c-7c1e521b425f","synthesize","predict-matter-cost@v1","7d051780-945e-f111-ab0c-7c1e521b425f","Insights — Agent Service Synthesis","","","60","AgentService","HIGH","action-name","60","AUTO-COPY (confidence=HIGH): script suggested AgentService (60)."
"2b594739-965e-f111-ab0c-7c1e521b425f","groundCitations","predict-matter-cost@v1","32eafa72-825e-f111-a825-6045bdebafa9","Insights — Grounding Verify","","","70","GroundingVerify","HIGH","action-name","70","AUTO-COPY (confidence=HIGH): script suggested GroundingVerify (70)."
"41594739-965e-f111-ab0c-7c1e521b425f","ReturnInsightArtifactNode","predict-matter-cost@v1","96d52e7f-825e-f111-a825-6045bdebafa9","Insights — Return Insight Artifact","","","120","ReturnInsightArtifact","HIGH","action-name","120","AUTO-COPY (confidence=HIGH): script suggested ReturnInsightArtifact (120)."
"15999f92-5f2d-f111-88b5-7c1e525abd8b","Has New Emails?","New Emails on Matters","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Has New Emails? -> Condition (question-mark = branch)."
"b1a37a9c-5f2d-f111-88b5-7c1e525abd8b","Create Notification","New Events on Matters/Projects","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"9f364a5a-5e2f-f111-88b5-7c1e525abd8b","Deliver Results","U.S. Patent Office Action Review","","","","","40","DeliverOutput","LOW","node-name","40","AUTO-COPY (confidence=LOW): script suggested DeliverOutput (40)."
"434b06d3-d418-f111-8343-7ced8d1dc988","Start","Create New Matter Pre-Fill","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"444b06d3-d418-f111-8343-7ced8d1dc988","AI Analysis","Create New Matter Pre-Fill","89cc641a-df18-f111-8343-7c1e520aa4df","New Matter Field Extraction","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"72f0c9dd-a119-f111-8343-7ced8d1dc988","AI Analysis","Summarize File","ddaa441e-9f19-f111-8343-7c1e520aa4df","File Summary","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"d08e57ec-a419-f111-8343-7ced8d1dc988","Start","Summarize File","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"4ce880b6-e11e-f111-88b3-7ced8d1dc988","Index Document","Document Profile","","","","","","","NONE","","41","AUTO-GUESS (NONE-row): Index Document -> DeliverToIndex (Index = vector-store write)."
"2b50e587-5f2d-f111-88b5-7ced8d1dc988","Query New Documents","New Documents on Your Matters","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"3150e587-5f2d-f111-88b5-7ced8d1dc988","Create Notification","New Documents on Your Matters","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"d9468c8e-5f2d-f111-88b5-7ced8d1dc988","Query New Emails","New Emails on Matters","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"a6bc529c-5f2d-f111-88b5-7ced8d1dc988","Start","New Events on Matters/Projects","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"cb739b00-424d-f111-bec7-7ced8d1dc988","Start","New Playbook","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"c4284512-4a65-f111-ab0c-7ced8ddc4a05","retrieveObservations","matter-health-single","23939266-825e-f111-a825-6045bdebafa9","Insights — Index Retrieve","","","90","IndexRetrieve","HIGH","action-name","90","AUTO-COPY (confidence=HIGH): script suggested IndexRetrieve (90)."
"d7284512-4a65-f111-ab0c-7ced8ddc4a05","ReturnInsightArtifactNode","matter-health-single","96d52e7f-825e-f111-a825-6045bdebafa9","Insights — Return Insight Artifact","","","120","ReturnInsightArtifact","HIGH","action-name","120","AUTO-COPY (confidence=HIGH): script suggested ReturnInsightArtifact (120)."
"de284512-4a65-f111-ab0c-7ced8ddc4a05","persistEnvelope","matter-health-single","62a1687d-4965-f111-ab0c-7ced8ddc4a05","Insights — Update Record (Persist Envelope)","","22","22","UpdateRecord","HIGH","action-name","22","AUTO-COPY (confidence=HIGH): script suggested UpdateRecord (22)."
"c3c5226d-5b71-f111-ab0d-7ced8ddc4a05","Entity Name Validator","Create New Matter Pre-Fill","","","","","141","EntityNameValidator","MEDIUM","node-name","141","AUTO-COPY (confidence=MEDIUM): script suggested EntityNameValidator (141)."
"338b6395-a171-f111-ab0d-7ced8ddc4a05","Start","Tasks Overdue","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"348b6395-a171-f111-ab0d-7ced8ddc4a05","Query Overdue Tasks","Tasks Overdue","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"358b6395-a171-f111-ab0d-7ced8ddc4a05","Check Results","Tasks Overdue","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Check Results -> Condition (branching node)."
"96f9ee9c-a171-f111-ab0d-7ced8ddc4a05","Start","Tasks Due Soon","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"97f9ee9c-a171-f111-ab0d-7ced8ddc4a05","Create Notification","Tasks Due Soon","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"98f9ee9c-a171-f111-ab0d-7ced8ddc4a05","Start","Matter/Project Activity Summary","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"99f9ee9c-a171-f111-ab0d-7ced8ddc4a05","Lookup My Matters","Matter/Project Activity Summary","ca44b7aa-fc70-f111-ab0e-7ced8ddc4cc6","Lookup User Membership","","52","52","LookupUserMembership","HIGH","action-name","52","AUTO-COPY (confidence=HIGH): script suggested LookupUserMembership (52)."
"2f371fa5-a171-f111-ab0d-7ced8ddc4a05","Start","New Work Assignments","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"30371fa5-a171-f111-ab0d-7ced8ddc4a05","Query New Work Assignments","New Work Assignments","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"31371fa5-a171-f111-ab0d-7ced8ddc4a05","Create Notification","New Work Assignments","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"32371fa5-a171-f111-ab0d-7ced8ddc4a05","Start","Daily Briefing Narrate","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"dacac491-4f6c-f111-ab0e-7ced8ddc4a05","Extract Project Fields","Create New Project Pre-Fill","","","","","","","NONE","","0","AUTO-GUESS (NONE-row): Extract Project Fields -> AiAnalysis (pre-fill = AI extraction from document)."
"9c44cb6a-c370-f111-ab0e-7ced8ddc4a05","extract-summary","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"9d44cb6a-c370-f111-ab0e-7ced8ddc4a05","deliverComposite","summarize-document-for-workspace@v1","","","","","42","DeliverComposite","MEDIUM","node-name","42","AUTO-COPY (confidence=MEDIUM): script suggested DeliverComposite (42)."
"669c5310-4a65-f111-ab0c-7ced8ddc4cc6","queryKpiAssessments","matter-health-single","8ed3e378-4965-f111-ab0c-70a8a590c51c","Insights — KPI Assessment Fetch (QueryDataverse)","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"679c5310-4a65-f111-ab0c-7ced8ddc4cc6","synthesize","matter-health-single","5981632e-4165-f111-ab0c-7ced8ddc4cc6","Matter Health Synthesis (Single Mode)","","60","60","AgentService","LOW","advisory-int","60","AUTO-COPY (confidence=LOW): script suggested AgentService (60)."
"689c5310-4a65-f111-ab0c-7ced8ddc4cc6","groundCitations","matter-health-single","32eafa72-825e-f111-a825-6045bdebafa9","Insights — Grounding Verify","","","70","GroundingVerify","HIGH","action-name","70","AUTO-COPY (confidence=HIGH): script suggested GroundingVerify (70)."
"4bd19f94-a171-f111-ab0d-7ced8ddc4cc6","Lookup My Matters","Tasks Overdue","ca44b7aa-fc70-f111-ab0e-7ced8ddc4cc6","Lookup User Membership","","52","52","LookupUserMembership","HIGH","action-name","52","AUTO-COPY (confidence=HIGH): script suggested LookupUserMembership (52)."
"2e6ee29a-a171-f111-ab0d-7ced8ddc4cc6","Lookup My Matters","Tasks Due Soon","ca44b7aa-fc70-f111-ab0e-7ced8ddc4cc6","Lookup User Membership","","52","52","LookupUserMembership","HIGH","action-name","52","AUTO-COPY (confidence=HIGH): script suggested LookupUserMembership (52)."
"2f6ee29a-a171-f111-ab0d-7ced8ddc4cc6","Query Tasks Due Soon","Tasks Due Soon","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"326ee29a-a171-f111-ab0d-7ced8ddc4cc6","Check Results","Tasks Due Soon","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Check Results -> Condition (branching node)."
"dfb7e6a0-a171-f111-ab0d-7ced8ddc4cc6","Query Matter Activity","Matter/Project Activity Summary","ef7747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Query Dataverse","","51","51","QueryDataverse","HIGH","action-name","51","AUTO-COPY (confidence=HIGH): script suggested QueryDataverse (51)."
"e0b7e6a0-a171-f111-ab0d-7ced8ddc4cc6","Has Activity?","Matter/Project Activity Summary","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Has Activity? -> Condition (question-mark = branch)."
"e1b7e6a0-a171-f111-ab0d-7ced8ddc4cc6","Create Notification","Matter/Project Activity Summary","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"e7b7e6a0-a171-f111-ab0d-7ced8ddc4cc6","Lookup My Matters","New Work Assignments","ca44b7aa-fc70-f111-ab0e-7ced8ddc4cc6","Lookup User Membership","","52","52","LookupUserMembership","HIGH","action-name","52","AUTO-COPY (confidence=HIGH): script suggested LookupUserMembership (52)."
"e8b7e6a0-a171-f111-ab0d-7ced8ddc4cc6","Has Assignments?","New Work Assignments","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Has Assignments? -> Condition (question-mark = branch)."
"0c895da7-a171-f111-ab0d-7ced8ddc4cc6","LoadKnowledge","Daily Briefing Narrate","","","","","142","LoadKnowledge","MEDIUM","node-name","142","AUTO-COPY (confidence=MEDIUM): script suggested LoadKnowledge (142)."
"0d895da7-a171-f111-ab0d-7ced8ddc4cc6","GenerateTldr","Daily Briefing Narrate","ce299eb4-fc70-f111-ab0e-7ced8ddc4cc6","Brief Narrate TLDR","","0","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"10895da7-a171-f111-ab0d-7ced8ddc4cc6","GenerateChannelNarratives","Daily Briefing Narrate","dc3533c0-fc70-f111-ab0e-7ced8ddc4cc6","Brief Narrate Channel","","0","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"11895da7-a171-f111-ab0d-7ced8ddc4cc6","ValidateEntityNames","Daily Briefing Narrate","290e786c-ff70-f111-ab0e-7ced8ddc4cc6","Brief Validate Entity Names","","141","141","EntityNameValidator","LOW","advisory-int","141","AUTO-COPY (confidence=LOW): script suggested EntityNameValidator (141)."
"12895da7-a171-f111-ab0d-7ced8ddc4cc6","ReturnResponse","Daily Briefing Narrate","","","","","143","ReturnResponse","MEDIUM","node-name","143","AUTO-COPY (confidence=MEDIUM): script suggested ReturnResponse (143)."
"51a53adc-396e-f111-ab0e-7ced8ddc4cc6","Start","New Playbook","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"de1cc47b-3a6e-f111-ab0e-7ced8ddc4cc6","Start","New Playbook","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"66455dfc-da6f-f111-ab0e-7ced8ddc4cc6","Start","New Playbook","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
